dataset,error_message
109201,Loading /autofs/space/transcend/MEG/AttenVis/109201/visit_20220617/109201_AttenVis_run01_behaviour.mat
109201,No missing values in RT
109201,Loading /autofs/space/transcend/MEG/AttenVis/109201/visit_20220617/109201_AttenVis_run02_behaviour.mat
109201,No missing values in RT
109201,Loading /autofs/space/transcend/MEG/AttenVis/109201/visit_20220617/109201_AttenVis_run03_behaviour.mat
109201,No missing values in RT
109501,Loading /autofs/space/transcend/MEG/AttenVis/109501/visit_20220819/109501_AttenVis_run01_behaviour.mat
109501,No missing values in RT
109501,Loading /autofs/space/transcend/MEG/AttenVis/109501/visit_20220819/109501_AttenVis_run02_behaviour.mat
109501,No missing values in RT
109501,Loading /autofs/space/transcend/MEG/AttenVis/109501/visit_20220819/109501_AttenVis_run03_behaviour.mat
109501,No missing values in RT
109501,Loading /autofs/space/transcend/MEG/AttenVis/109501/visit_20220819/109501_AttenVis_run04_behaviour.mat
109501,No missing values in RT
109701,Loading /autofs/space/transcend/MEG/AttenVis/109701/visit_20220817/109701_AttenVis_run01_behaviour.mat
109701,No missing values in RT
109701,Loading /autofs/space/transcend/MEG/AttenVis/109701/visit_20220817/109701_AttenVis_run02_behaviour.mat
109701,No missing values in RT
109701,Loading /autofs/space/transcend/MEG/AttenVis/109701/visit_20220817/109701_AttenVis_run03_behaviour.mat
109701,No missing values in RT
110101,Loading /autofs/space/transcend/MEG/AttenVis/110101/visit_20220930/110101_AttenVis_run01_behaviour.mat
110101,No missing values in RT
110101,Loading /autofs/space/transcend/MEG/AttenVis/110101/visit_20220930/110101_AttenVis_run02_behaviour.mat
110101,No missing values in RT
110101,Loading /autofs/space/transcend/MEG/AttenVis/110101/visit_20220930/110101_AttenVis_run03_behaviour.mat
110101,No missing values in RT
110501,Loading /autofs/space/transcend/MEG/AttenVis/110501/visit_20221017/110501_AttenVis_run01_behaviour.mat
110501,No missing values in RT
110501,Loading /autofs/space/transcend/MEG/AttenVis/110501/visit_20221017/110501_AttenVis_run02_behaviour.mat
110501,No missing values in RT
110501,Loading /autofs/space/transcend/MEG/AttenVis/110501/visit_20221017/110501_AttenVis_run03_behaviour.mat
110501,No missing values in RT
110501,Loading /autofs/space/transcend/MEG/AttenVis/110501/visit_20221017/110501_AttenVis_run04_behaviour.mat
110501,No missing values in RT
111401,Loading /autofs/space/transcend/MEG/AttenVis/111401/visit_20230715/111401_AttenVis_run01_behaviour.mat
111401,No missing values in RT
111401,Loading /autofs/space/transcend/MEG/AttenVis/111401/visit_20230715/111401_AttenVis_run02_behaviour.mat
111401,No missing values in RT
111401,Loading /autofs/space/transcend/MEG/AttenVis/111401/visit_20230715/111401_AttenVis_run03_behaviour.mat
111401,No missing values in RT
113201,Loading /autofs/space/transcend/MEG/AttenVis/113201/visit_20230804/113201_AttenVis_run01_behaviour.mat
113201,No missing values in RT
113201,Loading /autofs/space/transcend/MEG/AttenVis/113201/visit_20230804/113201_AttenVis_run02_behaviour.mat
113201,No missing values in RT
113201,Loading /autofs/space/transcend/MEG/AttenVis/113201/visit_20230804/113201_AttenVis_run03_behaviour.mat
113201,No missing values in RT
113301,Loading /autofs/space/transcend/MEG/AttenVis/113301/visit_20230619/113301_AttenVis_run01_behaviour.mat
113301,No missing values in RT
113301,Loading /autofs/space/transcend/MEG/AttenVis/113301/visit_20230619/113301_AttenVis_run02_behaviour.mat
113301,No missing values in RT
113301,Loading /autofs/space/transcend/MEG/AttenVis/113301/visit_20230619/113301_AttenVis_run03_behaviour.mat
113301,No missing values in RT
114001,Loading /autofs/space/transcend/MEG/AttenVis/114001/visit_20230612/114001_AttenVis_run01_behaviour.mat
114001,"   event_name  condition  response first_condition first_response Condition difficulty  RT  correct
16     target        NaN     0.168                           left                 None NaN        1
18     target        NaN     0.075                          right                 None NaN        1
30     target        NaN     0.081                           left                 None NaN        1"
114001,Loading /autofs/space/transcend/MEG/AttenVis/114001/visit_20230612/114001_AttenVis_run02_behaviour.mat
114001,No missing values in RT
114001,Loading /autofs/space/transcend/MEG/AttenVis/114001/visit_20230612/114001_AttenVis_run03_behaviour.mat
114001,No missing values in RT
114501,Loading /autofs/space/transcend/MEG/AttenVis/114501/visit_20230621/114501_AttenVis_run01_behaviour.mat
114501,No missing values in RT
114501,Loading /autofs/space/transcend/MEG/AttenVis/114501/visit_20230621/114501_AttenVis_run02_behaviour.mat
114501,No missing values in RT
114501,Loading /autofs/space/transcend/MEG/AttenVis/114501/visit_20230621/114501_AttenVis_run03_behaviour.mat
114501,No missing values in RT
114601,Loading /autofs/space/transcend/MEG/AttenVis/114601/visit_20230818/114601_AttenVis_run01_behaviour.mat
114601,No missing values in RT
114601,Loading /autofs/space/transcend/MEG/AttenVis/114601/visit_20230818/114601_AttenVis_run02_behaviour.mat
114601,No missing values in RT
114601,Loading /autofs/space/transcend/MEG/AttenVis/114601/visit_20230818/114601_AttenVis_run03_behaviour.mat
114601,No missing values in RT
116201,Loading /autofs/space/transcend/MEG/AttenVis/116201/visit_20230719/116201_AttenVis_run01_behaviour.mat
116201,No missing values in RT
116201,Loading /autofs/space/transcend/MEG/AttenVis/116201/visit_20230719/116201_AttenVis_run02_behaviour.mat
116201,No missing values in RT
116201,Loading /autofs/space/transcend/MEG/AttenVis/116201/visit_20230719/116201_AttenVis_run03_behaviour.mat
116201,No missing values in RT
116301,Loading /autofs/space/transcend/MEG/AttenVis/116301/visit_20230714/116301_AttenVis_run01_behaviour.mat
116301,No missing values in RT
116301,Loading /autofs/space/transcend/MEG/AttenVis/116301/visit_20230714/116301_AttenVis_run02_behaviour.mat
116301,No missing values in RT
116301,Loading /autofs/space/transcend/MEG/AttenVis/116301/visit_20230714/116301_AttenVis_run03_behaviour.mat
116301,No missing values in RT
120001,Loading /autofs/space/transcend/MEG/AttenVis/120001/visit_20230929/120001_AttenVis_run01_behaviour.mat
120001,No missing values in RT
